Account,Parcel Number,Reception,Sale Date,Sale Price,Situs Address,Location,Architectural Style,Year Built,Bedrooms,Baths,Heated Area,Legal
R090192,239328308015,/,5/8/2015,"$410,000",001188 106 COUNTY RD,CARBONDALE,ONE STORY,1923,2,1,964,"Section: 28 Township: 7 Range: 88 A PCL OF LAND IN LOTS C, 17, AND 18. BLK 8 Subdivision: COOPERTON TWNSTE. Block: 8 AMENDED"
R340690,239334327005,866342,8/3/2015,"$385,000",000174 4TH ST,CARBONDALE,ONE STORY,1888,2,1,984,Section: 34 Township: 7 Range: 88 Subdivision: ORIGINAL TWNSTE CARBONDALE Block: 13 Lot: 13 THRU:- Lot: 16 N 38.9' OF THE S 78.9' OF
R340338,239334321006,851439,7/15/2014,"$420,000",000065 8TH ST,CARBONDALE,ONE STORY,1883,2,1,1029,"Section: 34 Township: 7 Range: 88 Subdivision: ORIGINAL TWNSTE CARBONDALE Block: 29 Lot: 20, Subdivision: ORIGINAL TWNSTE CARBONDALE Lot: 21 THRU:- Lot: 24 E 6' OF THE N 37' OF N 37' OF"
R083474,23933430S001,855768,11/6/2014,"$399,000",184 N 11TH ST,CARBONDALE,STRAW BALE,2009,2,2,1080,Section: 34 Township: 7 Range: 88 Subdivision: TREVOR SUBDIVISION EXEMPTION Lot: A
R340073,239334200010,870778,11/24/2015,"$560,000",000276 10TH ST,CARBONDALE,ONE STORY,1971,3,2,1080,Section: 34 Township: 7 Range: 88 TR IN LOT 5
R044038,239334270009,856215,11/19/2014,"$1,485,200",000314 W EIGHTH PLACE,CARBONDALE,TWO STORY,2008,2,2.25,1152,"Section: 34 Township: 7 Range: 88 Subdivision: CLEVELAND PLACE II Lot: 5 A RESUB OF BLOCK 14, EXCEPT S 200 FT IN WEAVER ADDITION"
R044038,239334270009,863061,4/16/2015,"$405,000",000314 W EIGHTH PLACE,CARBONDALE,TWO STORY,2008,2,2.25,1152,"Section: 34 Township: 7 Range: 88 Subdivision: CLEVELAND PLACE II Lot: 5 A RESUB OF BLOCK 14, EXCEPT S 200 FT IN WEAVER ADDITION"
R044039,239334270010,856215,11/19/2014,"$1,485,200",000312 W EIGHTH PLACE,CARBONDALE,TWO STORY,2008,2,2.25,1152,"Section: 34 Township: 7 Range: 88 Subdivision: CLEVELAND PLACE II Lot: 6 A RESUB OF BLOCK 14, EXCEPT S 200 FT IN WEAVER ADDITION"
R044039,239334270010,861072,3/26/2015,"$379,000",000312 W EIGHTH PLACE,CARBONDALE,TWO STORY,2008,2,2.25,1152,"Section: 34 Township: 7 Range: 88 Subdivision: CLEVELAND PLACE II Lot: 6 A RESUB OF BLOCK 14, EXCEPT S 200 FT IN WEAVER ADDITION"
R044040,239334270011,856215,11/19/2014,"$1,485,200",000310 W EIGHTH PLACE,CARBONDALE,TWO STORY,2008,2,2.25,1152,"Section: 34 Township: 7 Range: 88 Subdivision: CLEVELAND PLACE II Lot: 7 A RESUB OF BLOCK 14, EXCEPT S 200 FT IN WEAVER ADDITION"
R044040,239334270011,862166,4/16/2015,"$410,000",000310 W EIGHTH PLACE,CARBONDALE,TWO STORY,2008,2,2.25,1152,"Section: 34 Township: 7 Range: 88 Subdivision: CLEVELAND PLACE II Lot: 7 A RESUB OF BLOCK 14, EXCEPT S 200 FT IN WEAVER ADDITION"
R083360,23933430R002,861769,4/21/2015,"$345,000",000858 SOPRIS AVE,CARBONDALE,ONE STORY,1888,3,1.5,1202,Section: 34 Township: 7 Range: 88 Subdivision: CHRISTNER LOT BOUNDARY ADJUSTMENT Lot: B
R340283,239334333006,853053,8/28/2014,"$430,000",000725 SOPRIS AVE,CARBONDALE,ONE STORY,1972,3,1,1212,Section: 34 Township: 7 Range: 88 Subdivision: ORIGINAL TWNSTE CARBONDALE Block: 24 Lot: 20 THRU:- Lot: 22 W 12.5' OF LOT 22
R580326,239334222004,876026,4/15/2016,"$369,000",000525 N 8TH ST,CARBONDALE,ONE STORY,1984,3,1,1276,Section: 34 Township: 7 Range: 88 Subdivision: REGULUS SUB-DIV EXEMPTION Lot: B
R340411,239333402017,868163,9/16/2015,"$492,000",000239 CRYSTAL RD,CARBONDALE,ONE STORY,1978,3,2,1281,Section: 33 Township: 7 Range: 88 Subdivision: CRYSTAL VILLAGE 2ND. Block: 2 Lot: 17
R340527,239333404009,860372,3/6/2015,"$415,000",000180 CLEARWATER RD,CARBONDALE,TWO STORY,1978,3,1.7,1296,Section: 33 Township: 7 Range: 88 Subdivision: CRYSTAL VILLAGE P.U.D. Block: 4 Lot: 9 FLG 1
R340484,239334407001,865779,7/21/2015,"$489,000",000122 SOPRIS AVE,CARBONDALE,ONE STORY,1975,3,1.7,1323,Section: 34 Township: 7 Range: 88 Subdivision: SOPRIS MEADOWS #1 Block: 1 Lot: 1
R083666,239334333010,875550,4/4/2016,"$360,000",000710 EUCLID AVE,CARBONDALE,ONE WITH HALF STORY,1883,3,1,1399,"Section: 34 Township: 7 Range: 88 Subdivision: ORIGINAL TWNSTE CARBONDALE Block: 24 Lot: PARCEL B AKA LOTS 1 &2 AND THE EASTERLY 23.5 FEET OF LOT 3, BLOCK 24, TOWN OF CARBONDALE"
R050074,239311400015,871732,12/23/2015,"$385,500",004853 113 COUNTY RD,CARBONDALE,ONE STORY,1958,2,1.75,1419,Section: 11 Township: 7 Range: 88 TR IN NESE
R340568,239334339001,858788,1/29/2015,"$450,000",000678 SOPRIS AVE,CARBONDALE,ONE STORY,1960,4,2.25,1427,Section: 34 Township: 7 Range: 88 Subdivision: FENDER ADD Block: 2 Lot: 1 THRU:- Lot: 4
R340588,239333403004,868135,9/17/2015,"$425,000",000080 CRYSTAL RD,CARBONDALE,ONE STORY,1979,3,1.7,1432,Section: 33 Township: 7 Range: 88 Subdivision: CRYSTAL VILLAGE P.U.D. Block: 3 Lot: 4 FLG 2
R590265,246303305002,852671,8/15/2014,"$1,210,000",005125 CRYSTAL BRIDGE DR,CARBONDALE,TWO STORY,2003,1,1.5,1437,Section: 3 Township: 8 Range: 88 Subdivision: RIVER VALLEY RANCH Block: K Lot: 2
R011708,239131216013,856847,12/5/2014,"$430,000",000481 STAGECOACH LN,CARBONDALE,ONE STORY,1978,3,2,1456,Section: 31 Township: 7 Range: 87 Subdivision: RANCH AT ROARING FORK #5 Lot: 13
R340052,239333402015,865776,7/20/2015,"$529,000",000299 CRYSTAL RD,CARBONDALE,ONE STORY,1978,3,2,1471,Section: 33 Township: 7 Range: 88 Subdivision: CRYSTAL VILLAGE 2ND. Block: 2 Lot: 15
R008559,239336319007,853431,9/9/2014,"$700,000",110 WEEPING WILLOW  LN,CARBONDALE,ONE STORY,2008,2,2,1484,Section: 36 Township: 7 Range: 88 Subdivision: ROARING FORK PRESERVE Lot: 7 AMENDED LOT 7 AS PER RECEPTION #878510
R590021,239328414007,862153,4/29/2015,"$490,000",000791 LATIGO CT,CARBONDALE,ONE STORY,1995,2,2,1496,Section: 28 Township: 7 Range: 88 Subdivision: ROARING FORK VILLAGE FILNG #3 Lot: 7
R580404,246303109015,870579,11/17/2015,"$490,000",000010 HARRIS DR,CARBONDALE,TWO STORY,1999,2,2.5,1500,Section: 3 Township: 8 Range: 88 Subdivision: RIVER VALLEY RANCH PH III Block: F Lot: 15
R580405,246303109016,872783,1/22/2016,"$494,000",000014 HARRIS DR,CARBONDALE,TWO STORY,1999,2,2.5,1500,Section: 3 Township: 8 Range: 88 Subdivision: RIVER VALLEY RANCH PH III Block: F Lot: 16
R510041,239333416003,856760,12/2/2014,"$460,000",001625 DEFIANCE DR,CARBONDALE,BI LEVEL,1990,4,2,1514,"Section: 33 Township: 7 Range: 88 Subdivision: CRYSTAL VLG FLG 6,PH 2 AMEND Block: 1 Lot: 3"
R011764,239336215043,854160,9/24/2014,"$416,300",000248 SURREY ST,CARBONDALE,ONE STORY,1979,3,2,1521,Section: 36 Township: 7 Range: 88 Subdivision: RANCH AT ROARING FORK #4 Lot: 43 FLG. 3
R011701,239336116004,854194,9/30/2014,"$385,000",000380 STAGECOACH LN,CARBONDALE,ONE STORY,1978,3,2,1536,Section: 36 Township: 7 Range: 88 Subdivision: RANCH AT ROARING FORK #5 Lot: 4
R340478,239334323001,857642,12/19/2014,"$416,000",000918 GARFIELD AVE,CARBONDALE,ONE STORY WITH BASEMENT,1966,3,2,1539,Section: 34 Township: 7 Range: 88 Subdivision: WEST ADD. Block: 2 Lot: 1
R340401,239333405020,870196,11/6/2015,"$475,000",001599 GREYSTONE DR,CARBONDALE,ONE STORY,1978,3,1.7,1547,Section: 33 Township: 7 Range: 88 Subdivision: CRYSTAL VILLAGE 2ND. Block: 5 Lot: 20
R042555,239334396017,865420,7/13/2015,"$462,500",000313 CLEVELAND PL,CARBONDALE,TWO STORY,2006,3,2.5,1574,Section: 34 Township: 7 Range: 88 Subdivision: CLEVELAND PLACE SUBDIVISION Lot: 12
R011780,239336215013,851240,7/10/2014,"$350,000",000075 STAGECOACH CIR,CARBONDALE,ONE WITH HALF STORY,1977,3,2,1580,"Section: 36 Township: 7 Range: 88 Subdivision: RANCH AT ROARING FORK #4 Lot: 13 AMENDED LOTS 4 AND 13, RANCH AT ROARING FORK IV FILING NO. ONE, RECEPTION 851152"
R090212,239328307009,853595,9/10/2014,"$339,500",001141 106 COUNTY RD,CARBONDALE,MANUFACTURED HUD,1997,3,2,1596,Section: 28 Township: 7 Range: 88 Subdivision: COOPERTON TWNSTE. Block: 7 Lot: A AMENDED
R007035,239334376002,873907,2/22/2016,"$595,000",000180-000182 N 7TH ST,CARBONDALE,TWO STORY,2001,4,3,1622,"Section: 34 Township: 7 Range: 88 Subdivision: FLEET SUB-DIV. Lot: B RESUB OF LOTS 7-12, BLK 5 OF WEAVER ADDITION"
R340262,239334204013,851678,7/22/2014,"$495,000",000479 MANCOS ST,CARBONDALE,TWO STORY WITH BASEMENT,1977,3,2.5,1646,Section: 34 Township: 7 Range: 88 Subdivision: COLORADO MEADOWS ADD Block: 5 Lot: 13
R340483,239334428002,857485,12/23/2014,"$438,300",000226 GARFIELD AVE,CARBONDALE,TWO STORY,1898,2,2,1656,Section: 34 Township: 7 Range: 88 Subdivision: ORIGINAL TWNSTE CARBONDALE Block: 8 Lot: 3 AND:- Lot: 4
R590032,239328414018,878492,6/15/2016,"$500,000",000800 LATIGO LOOP,CARBONDALE,ONE STORY,1994,3,2,1658,Section: 28 Township: 7 Range: 88 Subdivision: ROARING FORK VILLAGE FILNG #3 Lot: 18
R340495,239333404005,852681,8/7/2014,"$485,000",000100 CLEARWATER RD,CARBONDALE,BI LEVEL,1978,3,1.7,1674,Section: 33 Township: 7 Range: 88 Subdivision: CRYSTAL VILLAGE P.U.D. Block: 4 Lot: 5
R011786,239336215019,855448,10/30/2014,"$572,500",000213 STAGECOACH DR,CARBONDALE,TWO STORY,1988,3,2,1690,Section: 36 Township: 7 Range: 88 Subdivision: RANCH AT ROARING FORK #4 Lot: 19 FLG. 2
R011773,239336215006,873017,1/28/2016,"$530,000",000121 STAGECOACH CIR,CARBONDALE,TWO STORY,1978,3,2.5,1696,Section: 36 Township: 7 Range: 88 Subdivision: RANCH AT ROARING FORK #4 Lot: 6 FLG. 1
R011751,239336215030,866075,7/21/2015,"$625,000",000262 STAGECOACH DR,CARBONDALE,ONE STORY,1978,3,2,1700,Section: 36 Township: 7 Range: 88 Subdivision: RANCH AT ROARING FORK #4 Lot: 30 FLG. 2
R510064,239334359026,860714,3/19/2015,"$495,000",001209 CATHERINE CT,CARBONDALE,ONE STORY,1990,3,1.75,1704,"Section: 34 Township: 7 Range: 88 Subdivision: CRYSTAL VLG FLG 6,PH 2 AMEND Block: 1 Lot: 26"
R590180,246303109021,861255,4/8/2015,"$519,000",000034 HARRIS DR,CARBONDALE,TWO STORY,1998,3,3.5,1714,Section: 3 Township: 8 Range: 88 Subdivision: RIVER VALLEY RANCH Block: F Lot: 21
R044770,246303239011,855570,11/3/2014,"$470,000",000332 LINDEN CIR,CARBONDALE,TWO STORY,2009,3,3.5,1724,"Section: 3 Township: 8 Range: 88 Subdivision: KEATOR GROVE PUD Lot: 11 AMENDED FIRST LOT LINE ADJ OF TR1, TR2, LOT 1A AND LOTS 11, 12, 13, 15, 16, 17, 18, 19, 21, 22, 23, 24 & 34."
R044041,239334270012,878557,6/17/2016,"$439,000",000317 W EIGHTH CT,CARBONDALE,TWO STORY WITH BASEMENT,2015,3,3.5,1728,"Section: 34 Township: 7 Range: 88 Subdivision: CLEVELAND PLACE II Lot: 8 A RESUB OF BLOCK 14, EXCEPT S 200 FT IN WEAVER ADDITION"
R083566,239334270031,878679,6/17/2016,"$439,000",321 W EIGHTH COURT,CARBONDALE,TWO STORY WITH BASEMENT,2015,3,3.5,1728,"Section: 34 Township: 7 Range: 88 Subdivision: CLEVELAND PLACE II Lot: 9B ACCORDING TO SECOND AMD PLAT OF LOTS 9A, 9B, 11A, & 11B CLEVELAND PLACE SUBDIVISION II REC #863874"
R083567,239334270032,878616,6/17/2016,"$439,000",319 W EIGHTH COURT,CARBONDALE,TWO STORY WITH BASEMENT,2015,3,3.5,1728,"Section: 34 Township: 7 Range: 88 Subdivision: CLEVELAND PLACE II Lot: 9A ACCORDING TO SECOND AMD PLAT OF LOTS 9A, 9B, 11A, & 11B CLEVELAND PLACE SUBDIVISION II REC #863874"
R011400,239335400025,852494,8/11/2014,"$453,000",000250 WILLOW LN,CARBONDALE,ONE STORY,1972,3,2,1844,Section: 35 Township: 7 Range: 88 TR IN LOT 12
R340323,239334410010,867173,8/21/2015,"$450,000",000189 CAPITOL AVE,CARBONDALE,TRI LEVEL,1971,4,1.5,1846,Section: 34 Township: 7 Range: 88 Subdivision: SOPRIS MEADOWS #2 Block: 4 Lot: 0 AND:- Lot: 14 SW2 OF LOT 13
R340400,239334206012,865926,7/24/2015,"$560,000",000478 MESA VERDE AVE,CARBONDALE,BI LEVEL,1978,4,2,1872,Section: 34 Township: 7 Range: 88 Subdivision: COLORADO MEADOWS ADD Block: 2 Lot: 12
R120066,239305107040,865428,7/15/2015,"$590,000",000214 CRESCENT LN,CARBONDALE,TWO STORY,2001,2,2,1892.9,Section: 5 Township: 7 Range: 88 Subdivision: LOS AMIGOS RANCH FL 5 PH II Lot: 59
R050066,218723100019,855438,10/30/2014,"$620,000",000630 FOSTER RIDGE RD,CARBONDALE,ONE WITH HALF STORY,2002,3,1.75,1912,Section: 23 Township: 6 Range: 88 Subdivision: HOMESTEAD EST. Lot: 19
R340642,239334323005,857744,12/29/2014,"$520,000",001010 GARFIELD AVE,CARBONDALE,ONE STORY WITH BASEMENT,1959,4,2,1920,Section: 34 Township: 7 Range: 88 Subdivision: WEST ADD. Block: 2 Lot: 5 AND:- Lot: 6
R580051,239334225002,870205,11/6/2015,"$540,000",000711 LATIGO LOOP,CARBONDALE,BI LEVEL,1993,4,3,1920,Section: 34 Township: 7 Range: 88 Subdivision: GIANINETTI SUBDIVISION Lot: 2
R590072,239333421006,865969,7/22/2015,"$595,000",001319 WALD CIR,CARBONDALE,ONE STORY,1994,3,2,1957,Section: 33 Township: 7 Range: 88 Subdivision: CRYSTAL ACRES P.U.D. SUBD Lot: 6
R011180,239335400026,856564,11/24/2014,"$725,000",000254 WILLOW LN,CARBONDALE,MODULAR WITH ADDITION,2007,3,2.5,1960,Section: 35 Township: 7 Range: 88 TR IN LOT 12
R011765,239336215044,857550,12/23/2014,"$560,000",000264 SURREY ST,CARBONDALE,ONE STORY,1979,4,2.5,1979,Section: 36 Township: 7 Range: 88 Subdivision: RANCH AT ROARING FORK #4 Lot: 44 FLG. 3
R580403,246303109014,862637,5/4/2015,"$535,000",000006 HARRIS DR,CARBONDALE,TWO STORY,1999,3,3.5,1992,Section: 3 Township: 8 Range: 88 Subdivision: RIVER VALLEY RANCH PH III Block: F Lot: 14
R011390,239132100013,868220,9/14/2015,"$782,500",000130 FLYING FISH RD,CARBONDALE,ONE STORY,1977,3,2.5,1998,Section: 32 Township: 7 Range: 87 TR IN LOTS 9 & 18
R340182,239334206005,858049,1/8/2015,"$497,500",000630 REDSTONE AVE,CARBONDALE,ONE STORY WITH BASEMENT,1976,3,2.5,2016,Section: 34 Township: 7 Range: 88 Subdivision: COLORADO MEADOWS ADD Block: 2 Lot: 5
R580055,239334225006,854271,9/30/2014,"$540,000",000720 LATIGO LOOP,CARBONDALE,ONE STORY,1992,3,2,2024,Section: 34 Township: 7 Range: 88 Subdivision: GIANINETTI SUBDIVISION Lot: 6 AMENDED PER HONS/LIVINE BOUNDARY LINE ADJUSTMENT REC# 730064
R011716,239336116021,870166,11/5/2015,"$469,000",000395 STAGECOACH LN,CARBONDALE,ONE STORY,1979,4,2,2049,Section: 36 Township: 7 Range: 88 Subdivision: RANCH AT ROARING FORK #5 Lot: 21
R011130,239116301050,861850,4/22/2015,"$535,000",000350 ELK RANGE RD,CARBONDALE,ONE STORY,1990,3,2,2068,Section: 16 Township: 7 Range: 87 Subdivision: PANORAMA RANCHES HOMESTEAD 50
R007217,239305308029,871454,12/11/2015,"$615,000",000725 ELK SPRINGS DR,CARBONDALE,STRAW BALE,2005,3,1.75,2073.6,"Section: 5 Township: 7 Range: 88 Subdivision: ELK SPRINGS, LOS AMIGOS FLG 6 Lot: 29"
R011301,239120300057,868354,9/21/2015,"$785,000",000500 102 COUNTY RD,CARBONDALE,TWO STORY,1974,4,3,2106,"Section: 20 Township: 7 Range: 87 ALL THAT PORTION OF NESW CONT 7.25 AC LYING SLY & WLY OF CO RD 102. EXCEPT A TR CONT .30 AC AS DESC IN BK 920 PG 333. EXCEPT A TR CONT .62 AC AS DESC IN BK 1510 PGS 316,313. EXCEPT A TR CONT .31 AC AS DESC IN BNDY LINE ADJ BK 1510 PGS 319,322. EXCEPT A TR CONT .02 AC AS DESC IN BNDY LINE ADJ BK 1510 PGS 325,328."
R111944,239305306001,874033,2/22/2016,"$525,000",000134 CEDAR COVE,CARBONDALE,TWO STORY,1997,3,2.5,2129,Section: 5 Township: 7 Range: 88 Subdivision: LOS AMIGOS RANCH #2 FLG 3 & 4 Lot: 19
R510004,239334337004,863814,6/9/2015,"$475,000",000834 SOPRIS AVE,CARBONDALE,ONE STORY WITH BASEMENT,1979,3,2.5,2140,Section: 34 Township: 7 Range: 88 Subdivision: ORIGINAL TWNSTE CARBONDALE Block: 26 Lot: 5 AND:- Lot: 6 AND THE EAST 5 FT OF LOT 7 STATE EXEMPT - 23-01124-06
R042559,239334396021,877027,5/10/2016,"$499,000",000305 CLEVELAND PL,CARBONDALE,TWO STORY,2005,3,3,2148,Section: 34 Township: 7 Range: 88 Subdivision: CLEVELAND PLACE SUBDIVISION Lot: 16
R042563,239334396025,852497,8/12/2014,"$446,900",000304 CLEVELAND PL,CARBONDALE,TWO STORY,2005,4,3.5,2148,Section: 34 Township: 7 Range: 88 Subdivision: CLEVELAND PLACE SUBDIVISION Lot: 20
R043712,239117200274,868427,9/17/2015,"$450,000",000746 170 COUNTY RD,CARBONDALE,ONE STORY WITH BASEMENT,1985,2,2.25,2160,Section: 17 Township: 7 Range: 87 A TR IN NWNW. AKA BARAN SUBDIVISION EXMP PARCEL B
R042566,239334269028,863357,6/1/2015,"$470,000",000338 CLEVELAND PL,CARBONDALE,TWO STORY,2006,4,3.25,2162,Section: 34 Township: 7 Range: 88 Subdivision: CLEVELAND PLACE SUBDIVISION Lot: 23
R820174,239319106001,877040,5/9/2016,"$769,000",54 RIVER GLEN RD,CARBONDALE,ONE STORY,1999,3,3,2164,"Section: 19 Township: 7 Range: 88 Subdivision: EAGLES NEST TR. B PUD Lot: 1, RESUB CLUB VILLA TR. B 1ST AMENDED"
R011119,239117401034,866073,7/17/2015,"$589,000",002153 PANORAMA DR,CARBONDALE,TWO STORY,1994,3,2.5,2180,Section: 17 Township: 7 Range: 87 Subdivision: PANORAMA RANCHES HOMESTEAD 34
R011747,239336215026,861524,4/15/2015,"$600,000",000311 STAGECOACH DR,CARBONDALE,TWO STORY,1978,2,2.5,2207,Section: 36 Township: 7 Range: 88 Subdivision: RANCH AT ROARING FORK #4 Lot: 26 PHASE 4 FLG. 2
R044406,239308205021,863629,5/27/2015,"$515,000",112 SAGE MEADOW,CARBONDALE,TWO STORY WITH BASEMENT,2015,3,2.25,2207,"Section: 7 Township: 7 Range: 88 Subdivision: PINYON MESA PUD, FLG 1 Lot: 21 AMENDED PLAT LOT 21, REC #752952"
R044416,239308205031,872875,1/21/2016,"$562,000",63 CLIFF ROSE WAY,CARBONDALE,TWO STORY WITH BASEMENT,2015,3,2.25,2207,"Section: 7 Township: 7 Range: 88 Subdivision: PINYON MESA PUD, FLG 1 Lot: 31"
R044416,239308205031,872875,1/21/2016,"$562,000",63 CLIFF ROSE WAY,CARBONDALE,TWO STORY WITH BASEMENT,2015,3,2.25,2207,"Section: 7 Township: 7 Range: 88 Subdivision: PINYON MESA PUD, FLG 1 Lot: 31"
R820067,239319101028,872021,12/30/2015,"$725,000",000036 GOLDEN STONE DR,CARBONDALE,TWO STORY,1998,3,2.5,2222,Section: 19 Township: 7 Range: 88 Subdivision: ROARING FORK MESA AT ASPEN GLEN FLG #2 Lot: 24A
R111786,239305304010,868906,10/5/2015,"$620,000",000246 PINON DR,CARBONDALE,TWO STORY,1995,3,2.5,2272,Section: 5 Township: 7 Range: 88 Subdivision: LOS AMIGOS RN #2 FL 1 AM LT 10 Lot: 10
R590184,246303409025,877252,5/13/2016,"$650,000",000050 FERGUSON DR,CARBONDALE,TWO STORY WITH BASEMENT,1998,4,3.5,2275,Section: 3 Township: 8 Range: 88 Subdivision: RIVER VALLEY RANCH Block: F Lot: 25
R580382,246303211051,853019,8/6/2014,"$642,500",000654 NORTH BRIDGE DR,CARBONDALE,TWO STORY,1999,3,2.5,2319,Section: 3 Township: 8 Range: 88 Subdivision: RIVER VALLEY RANCH PH III Block: A Lot: 51
R510065,239334359027,854266,8/15/2014,"$470,000",001205 CATHERINE CT,CARBONDALE,TWO STORY,1991,3,3.25,2328,"Section: 34 Township: 7 Range: 88 Subdivision: CRYSTAL VLG FLG 6,PH 2 AMEND Block: 1 Lot: 27"
R580050,239328425001,878609,6/14/2016,"$625,000",000721 LATIGO LOOP,CARBONDALE,BI LEVEL,1993,3,2.75,2336,Section: 28 Township: 7 Range: 88 Subdivision: GIANINETTI SUBDIVISION Lot: 1
R111920,239314400351,864100,6/12/2015,"$656,500",001262 112 COUNTY RD,CARBONDALE,ONE STORY,1967,3,3.5,2340,Section: 13 Township: 7 Range: 88 A TR IN SW1/4 OF SEC 13 & 14.
R005889,239329416034,876007,4/15/2016,"$620,000",263 MIDLAND POINT RD,CARBONDALE,TWO STORY,2002,3,3,2345,Section: 29 Township: 7 Range: 88 Subdivision: MIDLAND POINT SUB. Lot: M-34
R580397,246303109008,867854,9/9/2015,"$670,000",000217 HOLLAND THOMPSON DR,CARBONDALE,TWO STORY,1999,4,3.5,2360,Section: 3 Township: 8 Range: 88 Subdivision: RIVER VALLEY RANCH PH III Block: F Lot: 8
R044433,239307105048,866928,7/29/2015,"$625,000",156 PINYON MESA DR,CARBONDALE,TWO STORY,2015,4,2.5,2361,"Section: 7 Township: 7 Range: 88 Subdivision: PINYON MESA PUD, FLG 1 Lot: 48, AMENDED PLAT, LOT 48, REC#752951"
R044433,239307105048,866928,7/29/2015,"$625,000",156 PINYON MESA DR,CARBONDALE,TWO STORY,2015,4,2.5,2361,"Section: 7 Township: 7 Range: 88 Subdivision: PINYON MESA PUD, FLG 1 Lot: 48, AMENDED PLAT, LOT 48, REC#752951"
R340620,239334209001,855988,11/13/2014,"$465,000",000760 CLEVELAND AVE,CARBONDALE,ONE STORY WITH BASEMENT,1980,4,1.75,2392,Section: 34 Township: 7 Range: 88 Subdivision: WATERS SUB Lot: A (BLK. 9 WEAVERS ADD.)
R510070,239334359032,870325,11/10/2015,"$610,000",001212 CATHERINE CT,CARBONDALE,ONE STORY WITH BASEMENT,1992,4,3,2404,"Section: 34 Township: 7 Range: 88 Subdivision: CRYSTAL VLG FLG 6,PH 2 AMEND Block: 1 Lot: 32"
R590096,239333421030,868826,9/21/2015,"$655,000",000305 OAK RUN RD,CARBONDALE,TWO STORY,1994,3,3.25,2432,Section: 33 Township: 7 Range: 88 Subdivision: CRYSTAL ACRES P.U.D. SUBD Lot: 30
