Account,Parcel Number,Reception,Sale Date,Sale Price,Situs Address,Location,Classification,Architectural Style,Actual Year Built,Bedrooms,Baths,Heated Area,Legal
R580331,239334371009,851732,7/23/2014,"$300,000",001115 CARA CT,CARBONDALE,Townhome,TWO STORY,1996,2,2,1099,Section: 34 Township: 7 Range: 88 Subdivision: SOPRIS LANDSCAPE Lot: 1-B
R580335,239334371013,876934,5/6/2016,"$345,000",001105 CARA CT,CARBONDALE,Townhome,TWO STORY,1997,2,2,1099,Section: 34 Township: 7 Range: 88 Subdivision: SOPRIS LANDSCAPE Lot: 3-B
R340801,246303105037,861923,4/21/2015,"$190,000",000086 ROARING FORK AVE #A1,CARBONDALE,Condo,CONDO,1981,2,1.7,1164,Section: 3 Township: 8 Range: 88 DESC: BLDG 4 Subdivision: CARBONDALE SOUTH P.U.D. Unit: A-1
R340885,246303105048,862245,5/4/2015,"$200,000",000086 ROARING FORK AVE #C4,CARBONDALE,Condo,CONDO,1981,2,1.75,1164,"Section: 3 Township: 8 Range: 88 DESC: BLDG 4, Subdivision: CARBONDALE SOUTH P.U.D. Unit: C-4"
R340654,246303105006,868218,9/16/2015,"$193,500",000090 ROARING FORK AVE #B2,CARBONDALE,Condo,CONDO,1980,2,2,1164,Section: 3 Township: 8 Range: 88 DESC: BLDG 1 Subdivision: CARBONDALE SOUTH P.U.D. Unit: B-2
R340666,246303105018,877754,5/26/2016,"$229,000",000093 MEADOW WOOD DR #B2,CARBONDALE,Condo,CONDO,1980,2,1.75,1164,Section: 3 Township: 8 Range: 88 DESC: BLDG. 2 Subdivision: CARBONDALE SOUTH P.U.D. Unit: B-2
R042539,239334269002,875258,3/28/2016,"$295,000",000343 CLEVELAND PL,CARBONDALE,Townhome,TWO STORY,2006,3,1.5,1167,Section: 34 Township: 7 Range: 88 Subdivision: CLEVELAND PLACE SUBDIVISION Lot: 1A STATE EXEMPT - 23-01204-01
R042539,239334269002,870067,11/3/2015,"$41,700",000343 CLEVELAND PL,CARBONDALE,Townhome,TWO STORY,2006,3,1.5,1167,Section: 34 Township: 7 Range: 88 Subdivision: CLEVELAND PLACE SUBDIVISION Lot: 1A STATE EXEMPT - 23-01204-01
R045811,23933430M003,875681,4/8/2016,"$307,000",000873 COLORADO AVE,CARBONDALE,Townhome,TWO STORY,1976,3,1.5,1188,Section: 34 Township: 7 Range: 88 Subdivision: ELLEN MANOR Lot: 3 A RESUB OF BLK 12 WEAVER ADDITION
R045812,23933430M004,876582,4/29/2016,"$315,100",000875 COLORADO AVE,CARBONDALE,Townhome,TWO STORY,1976,3,1.5,1188,Section: 34 Township: 7 Range: 88 Subdivision: ELLEN MANOR Lot: 4 A RESUB OF PART OF BLK 12 WEAVER ADDITION
R011638,239336110006,877325,5/12/2016,"$285,000",014913 82 HWY #259,CARBONDALE,Condo,CONDO,1973,2,2,1200,Section: 36 Township: 7 Range: 88 DESC: BLDG 10 Subdivision: RANCH AT ROARING FORK CONDOS Unit: F
R011642,239336111004,874646,3/1/2016,"$290,000",014913 82 HWY #131,CARBONDALE,Condo,CONDO,1973,2,1.7,1200,Section: 36 Township: 7 Range: 88 DESC: BLDG 11 Subdivision: RANCH AT ROARING FORK CONDOS Unit: D
R011652,239336114002,863643,5/21/2015,"$280,000",014913 82 HWY #247,CARBONDALE,Condo,CONDO,1973,2,1.7,1200,Section: 36 Township: 7 Range: 88 DESC: BLDG 14 Subdivision: RANCH AT ROARING FORK CONDOS Unit: B
R082712,239334450004,868788,9/30/2015,"$370,000",2ND ST,CARBONDALE,Condo,CONDO,1956,2,2.5,1200,"Quarter: SE Section: 34 Township: 7 Range: 88 Subdivision: SONIC CONDOMINIUMS Unit: 401 A RESUB OF LOT 8, SOUTH ADDITION"
R590063,239333420005,868866,10/2/2015,"$335,000",001364 BARBER DR,CARBONDALE,Townhome,BI LEVEL,1991,2,2.5,1200,Section: 33 Township: 7 Range: 88 Subdivision: CRYSTAL VL AM F6P1 L1-7 RE B15 Block: 15 Lot: 5
R590065,239333420007,866667,8/10/2015,"$355,000",001368 BARBER DR,CARBONDALE,Townhome,BI LEVEL,1991,2,2.5,1200,Section: 33 Township: 7 Range: 88 Subdivision: CRYSTAL VL AM F6P1 L1-7 RE B15 Block: 15 Lot: 7
R590117,239333422004,876570,4/29/2016,"$354,000",001319 BARBER DR,CARBONDALE,Townhome,ONE STORY W/ BSMT,1992,2,2.5,1200,Section: 33 Township: 7 Range: 88 Subdivision: CRYSTAL VLG PUD AMD-FLG 6 PH 1 Block: 23 Lot: 4
R590118,239333422005,876573,4/29/2016,"$340,000",001321 BARBER DR,CARBONDALE,Townhome,ONE STORY W/ BSMT,1992,2,2.5,1200,Section: 33 Township: 7 Range: 88 Subdivision: CRYSTAL VLG PUD AMD-FLG 6 PH 1 Block: 23 Lot: 5
R590122,239333424003,858276,1/12/2015,"$335,000",001329 BARBER DR,CARBONDALE,Townhome,ONE STORY W/ BSMT,1992,2,2.5,1200,Section: 33 Township: 7 Range: 88 Subdivision: CRYSTAL VILLAGE PUD 6TH Block: 22 Lot: 3
R590123,239333424004,863891,5/29/2015,"$339,000",001331 BARBER DR,CARBONDALE,Townhome,ONE STORY W/ BSMT,1992,2,2.5,1200,Section: 33 Township: 7 Range: 88 Subdivision: CRYSTAL VILLAGE PUD 6TH Block: 22 Lot: 4
R009065,239334380007,869752,10/23/2015,"$379,000",000864 COLORADO AVE,CARBONDALE,Townhome,TWO STORY,2002,2,2.5,1210,"Section: 34 Township: 7 Range: 88 Subdivision: MAIN TOWNHOMES Lot: 7 LOCATED IN PARCEL A, LEAVITT LOT LINE ADJ OF LOTS 8-12 & THE WEST 5 FT OF LOT 7, BLK 11, WEAVER ADD"
R009066,239334380008,872059,12/30/2015,"$375,000",000868 COLORADO AVE,CARBONDALE,Townhome,TWO STORY,2002,2,2.25,1210,"Section: 34 Township: 7 Range: 88 Subdivision: MAIN TOWNHOMES Lot: 8 LOCATED IN PARCEL A, LEAVITT LOT LINE ADJ OF LOTS 8-12 & THE WEST 5 FT OF LOT 7, BLK 11, WEAVER ADD"
R009067,239334380009,876259,4/20/2016,"$385,000",000872 COLORADO AVE,CARBONDALE,Townhome,TWO STORY,2002,2,2.25,1210,"Section: 34 Township: 7 Range: 88 Subdivision: MAIN TOWNHOMES Lot: 9 LOCATED IN PARCEL A, LEAVITT LOT LINE ADJ OF LOTS 8-12 & THE WEST 5 FT OF LOT 7, BLK 11, WEAVER ADD"
R341226,246303105057,871459,12/15/2015,"$280,000",000082 ROARING FORK AVE #C1,CARBONDALE,Condo,CONDO,1996,3,2,1215,Section: 3 Township: 8 Range: 88 DESC: BLDG 5 Subdivision: CARBONDALE SOUTH P.U.D. Unit: C-1
R341234,246303105065,867378,8/27/2015,"$239,000",000085 MEADOW WOOD DR #B1,CARBONDALE,Condo,CONDO,1996,3,2,1215,Section: 3 Township: 8 Range: 88 DESC: BLDG 6 Subdivision: CARBONDALE SOUTH P.U.D. Unit: B-1
R340240,239334370008,854718,10/9/2014,"$265,000",000766 LINCOLN AVE,CARBONDALE,Condo,CONDO,1979,2,1.5,1224,Section: 34 Township: 7 Range: 88 Subdivision: CENTER VILLAGE CONDOS Unit: 766
R590010,239333418002,866025,7/27/2015,"$335,000",001365 BARBER DR,CARBONDALE,Townhome,ONE STORY W/ BSMT,1990,2,2.5,1243,Section: 33 Township: 7 Range: 88 Subdivision: CRYSTAL VLG PUD AMD-FLG 6 PH 1 Block: 17 Lot: 2
R340261,246303104022,873655,2/11/2016,"$325,000",000681 S 2ND ST #D,CARBONDALE,Townhome,TWO STORY,1974,3,2.5,1248,Section: 3 Township: 8 Range: 88 Subdivision: SOPRIS PARK TOWNHOUSES Block: 4 Lot: 22 SOPRIS MEADOWS #3
R011636,239336110005,878807,6/24/2016,"$314,000",014913 82 HWY #261,CARBONDALE,Condo,CONDO,1973,3,1.7,1248,"Section: 36 Township: 7 Range: 88 DESC: BLDG 10 Subdivision: RANCH AT ROARING FORK CONDOS Unit: D 9/21/2015 IT WAS POINTED OUT BY A CUSTOMER THAT WE HAD THE WRONG UNIT LETTER ON THE UPPER AND LOWER UNITS D AND E. UPON LOOKING INTO THIS WE DISCOVERED THAT WHEN THEY DID AN AMENDED PLAT BACK IN 1986 RECEPTION # 368927, THE UNIT LETTERS WERE CHANGED ON SOME OF THE BUILDINGS AND IT WAS NOT CHANGED IN OUR RECORDS. APPRAISER WAS MADE AWARE OF PROBLEM, AND WE HAVE CHANGED THE UNIT LETTERS."
R011655,239336105005,869520,10/20/2015,"$424,000",014913 82 HWY #105,CARBONDALE,Condo,CONDO,1973,2,1.5,1248,"Section: 36 Township: 7 Range: 88 DESC: BLDG 5 Subdivision: RANCH AT ROARING FORK CONDOS Unit: D 9/21/2015 IT WAS POINTED OUT BY A CUSTOMER THAT WE HAD THE WRONG UNIT LETTER ON THE UPPER AND LOWER UNITS D AND E. UPON LOOKING INTO THIS WE DISCOVERED THAT WHEN THEY DID AN AMENDED PLAT BACK IN 1986 RECEPTION # 368927, THE UNIT LETTERS WERE CHANGED ON SOME OF THE BUILDINGS AND IT WAS NOT CHANGED IN OUR RECORDS. APPRAISER WAS MADE AWARE OF PROBLEM, AND WE HAVE CHANGED THE UNIT LETTERS."
R011675,239336109004,871059,12/2/2015,"$395,000",014913 82 HWY #123,CARBONDALE,Condo,CONDO,1973,3,1.7,1248,Section: 36 Township: 7 Range: 88 DESC: BLDG 9 Subdivision: RANCH AT ROARING FORK CONDOS Unit: D
R011677,239336110002,867340,8/27/2015,"$275,000",014913 82 HWY #263,CARBONDALE,Condo,CONDO,1973,3,1.7,1248,Section: 36 Township: 7 Range: 88 DESC: BLDG 10 Subdivision: RANCH AT ROARING FORK CONDOS Unit: B
R340903,239334211025,853486,9/11/2014,"$342,000",000935 WHEEL CIR,CARBONDALE,Townhome,TWO STORY,1981,2,2,1260,Section: 34 Township: 7 Range: 88 Subdivision: ROARING FORK VILLAGE PUD RESUB Block: 1 Lot: 4A RESUB. OF LOT 4 BLK 1 FLG. 1
R340905,239334211027,854842,10/10/2014,"$315,500",000939 WHEEL CIR,CARBONDALE,Townhome,TWO STORY,1981,2,1.75,1260,Section: 34 Township: 7 Range: 88 Subdivision: ROARING FORK VILLAGE PUD RESUB Block: 1 Lot: 4C RESUB OF LOT 4 BLK 1 FLG #1
R340942,239334212017,853573,9/15/2014,"$308,500",001006 WHEEL DR,CARBONDALE,Townhome,TWO STORY,1982,2,1.5,1260,Section: 34 Township: 7 Range: 88 Subdivision: ROARING FORK VILLAGE PUD RESUB Block: 2 Lot: 4 B RESUB OF LOT 4 BLK 2 FLG 1
R341015,239334213009,870056,11/2/2015,"$350,000",001023 WHEEL DR,CARBONDALE,Condo,CONDO,1981,3,1.5,1280,Section: 34 Township: 7 Range: 88 DESC: E LOT 5 Subdivision: CONESTOGA CONDOS Unit: 1023
R580169,239334234002,865154,6/6/2015,"$340,000",001041 WHEEL DR,CARBONDALE,Townhome,TWO STORY,1994,3,2.25,1280,Section: 34 Township: 7 Range: 88 Subdivision: WHEEL DRIVE TOWNHOMES Lot: B
R580172,239334234005,852062,7/31/2014,"$275,000",001033 WHEEL DR,CARBONDALE,Townhome,TWO STORY,1994,3,2.5,1280,Section: 34 Township: 7 Range: 88 Subdivision: WHEEL DRIVE TOWNHOMES Lot: E
R580333,239334371011,865884,7/20/2015,"$343,500",001111 CARA CT,CARBONDALE,Townhome,TWO STORY,1997,3,2,1286,Section: 34 Township: 7 Range: 88 Subdivision: SOPRIS LANDSCAPE Lot: 1-D
R580346,239334371016,870718,11/20/2015,"$375,000",001127 CARA CT,CARBONDALE,Townhome,TWO STORY,1997,3,2,1286,Section: 34 Township: 7 Range: 88 Subdivision: SOPRIS LANDSCAPE Lot: 2A
R580347,239334371017,873895,2/22/2016,"$358,700",001125 CARA CT,CARBONDALE,Townhome,TWO STORY,1997,3,2,1286,Section: 34 Township: 7 Range: 88 Subdivision: SOPRIS LANDSCAPE Lot: 2-B
R580347,239334371017,876713,4/22/2016,"$364,000",001125 CARA CT,CARBONDALE,Townhome,TWO STORY,1997,3,2,1286,Section: 34 Township: 7 Range: 88 Subdivision: SOPRIS LANDSCAPE Lot: 2-B
R580263,239334306010,859819,2/23/2015,"$355,000",000621 COLORADO AVE,CARBONDALE,Townhome,TWO STORY,1989,3,2.75,1301,Section: 34 Township: 7 Range: 88 Subdivision: WEAVERS ADD. Block: 5 Lot: A
R340673,246303105025,865731,7/20/2015,"$220,000",000089 MEADOW WOOD DR #A-1,CARBONDALE,Condo,CONDO,1980,3,1.7,1304,Section: 3 Township: 8 Range: 88 DESC: BLDG. 3 Subdivision: CARBONDALE SOUTH P.U.D. Unit: A-1
R341143,239334219012,868980,10/2/2015,"$412,000",000995 PAINTED LADY LN,CARBONDALE,Townhome,TWO STORY,1997,3,2.25,1306,Section: 34 Township: 7 Range: 88 Subdivision: VICTORIANS-ROARING FRK VILLAGE Lot: F-2
R041572,239333438004,868410,9/23/2015,"$469,000",000153 VILLAGE LN,CARBONDALE,Townhome,TWO STORY,2004,2,2.5,1312,"Section: 33 Township: 7 Range: 88 Subdivision: VILLAGE LANE TOWNHOMES Lot: D RE-SUB OF LOTS 2 & 4, FLG 3 OF CRYSTAL VILLAGE PUD"
R341133,239334219002,871488,12/15/2015,"$387,500",001013 WHEEL CIR,CARBONDALE,Townhome,TWO STORY,1982,3,2,1326,Section: 34 Township: 7 Range: 88 Subdivision: VICTORIANS-ROARING FRK VILLAGE Lot: A-2
R341146,239334219015,861326,4/9/2015,"$360,000",001005 CROWN DR,CARBONDALE,Townhome,TWO STORY,1994,3,2,1326,Section: 34 Township: 7 Range: 88 Subdivision: VICTORIANS-ROARING FRK VILLAGE Lot: H-1
R341146,239334219015,858544,1/22/2015,"$220,000",001005 CROWN DR,CARBONDALE,Townhome,TWO STORY,1994,3,2,1326,Section: 34 Township: 7 Range: 88 Subdivision: VICTORIANS-ROARING FRK VILLAGE Lot: H-1
R041574,239333438006,870571,11/16/2015,"$422,500",000169 VILLAGE LN,CARBONDALE,Townhome,TWO STORY,2004,2,2.5,1344,"Section: 33 Township: 7 Range: 88 Subdivision: VILLAGE LANE TOWNHOMES Lot: F RE-SUB OF LOTS 2 & 4, FLG 3 OF CRYSTAL VILLAGE PUD"
R580094,239334362003,855840,11/10/2014,"$310,000",000354 S 8TH ST,CARBONDALE,Townhome,TWO STORY,1992,3,2.5,1344,Section: 34 Township: 7 Range: 88 Subdivision: DONITA TOWNHOMES Block: 0 Lot: 3
R011668,239336108003,872161,12/30/2015,"$267,000",014913 82 HWY #272,CARBONDALE,Condo,CONDO,1973,2,2.5,1397,Section: 36 Township: 7 Range: 88 DESC: BLDG 8 Subdivision: RANCH AT ROARING FORK CONDOS Unit: C
R005996,246303217001,852277,8/7/2014,"$372,500",002728 GRACELAND DR,CARBONDALE,Townhome,TWO STORY,1999,3,2,1435,Section: 3 Township: 8 Range: 88 Subdivision: GRACELAND DRIVE TOWNHOMES Lot: 63-A RESUB LOT 63 HENDRICK RANCH PUD PH II
R580146,239334232001,873027,1/27/2016,"$365,000",001022 WHEEL CIR,CARBONDALE,Townhome,TWO STORY,1994,2,2.5,1440,Section: 34 Township: 7 Range: 88 Subdivision: BAILIE TOWNHOMES # 5 Unit: 12A
R580147,239334232002,863783,5/29/2015,"$357,500",001024 WHEEL CIR,CARBONDALE,Townhome,TWO STORY,1994,3,2.5,1440,Section: 34 Township: 7 Range: 88 Subdivision: BAILIE TOWNHOMES # 5 Unit: 12B
R840080,239133203034,865065,7/7/2015,"$400,000",000030 DAKOTA MEADOWS DR,CARBONDALE,Townhome,TWO STORY,1998,2,2.25,1443,Section: 33 Township: 7 Range: 87 Subdivision: DAKOTA MDWS DUPLEX UNITS 22-24 Lot: 22B
R840082,239133203036,871493,12/16/2015,"$405,000",000046 DAKOTA MEADOWS DR,CARBONDALE,Townhome,TWO STORY,1998,2,2.5,1443,Section: 33 Township: 7 Range: 87 Subdivision: DAKOTA MDWS DUPLEX UNITS 22-24 Lot: 23B
R840084,239133203038,851318,7/10/2014,"$315,000",000064 DAKOTA MEADOWS DR,CARBONDALE,Townhome,TWO STORY,1998,2,2.2,1443,Section: 33 Township: 7 Range: 87 Subdivision: DAKOTA MDWS DUPLEX UNITS 22-24 Lot: 24B
R011688,239336104001,871573,12/8/2015,"$273,000",014913 82 HWY #286,CARBONDALE,Condo,CONDO,1973,2,2.5,1496,Section: 36 Township: 7 Range: 88 DESC: BLDG 4 Subdivision: RANCH AT ROARING FORK CONDOS Unit: A
R045007,23933430C022,864022,6/12/2015,"$403,000",001008 COLORADO AVE,CARBONDALE,Townhome,TWO STORY,2008,2,2.5,1500,Section: 34 Township: 7 Range: 88 Subdivision: MOUNTAIN SAGE TOWNHOMES Lot: F2
R580272,239334368015,851965,7/30/2014,"$379,000",001007 VITOS WAY,CARBONDALE,Townhome,TRI LEVEL,1995,3,2,1530,Section: 34 Township: 7 Range: 88 Subdivision: HENDRICK RANCH PUD PH 1 Lot: 51A
R580273,239334368016,851789,7/25/2014,"$365,000",000997 VITOS WAY,CARBONDALE,Townhome,TRI LEVEL,1995,3,1.75,1530,Section: 34 Township: 7 Range: 88 Subdivision: HENDRICK RANCH PUD PH 1 Lot: 51B
R044987,23933430C002,851515,7/14/2014,"$375,000",000927 MAIN ST,CARBONDALE,Townhome,TWO STORY,2013,2,2.5,1548,Section: 34 Township: 7 Range: 88 Subdivision: MOUNTAIN SAGE TOWNHOMES Lot: A2
R044988,23933430C003,859329,2/17/2015,"$409,000",000933 MAIN ST,CARBONDALE,Townhome,TWO STORY,2013,2,2.5,1548,Section: 34 Township: 7 Range: 88 Subdivision: MOUNTAIN SAGE TOWNHOMES Lot: A3
R044991,23933430C006,851513,7/14/2014,"$375,000",000951 MAIN ST,CARBONDALE,Townhome,TWO STORY,2013,2,2.5,1548,Section: 34 Township: 7 Range: 88 Subdivision: MOUNTAIN SAGE TOWNHOMES Lot: B2
R044992,23933430C007,851448,7/14/2014,"$375,000",000957 MAIN ST,CARBONDALE,Townhome,TWO STORY,2013,2,2.5,1548,Section: 34 Township: 7 Range: 88 Subdivision: MOUNTAIN SAGE TOWNHOMES Lot: B3
R045000,23933430C015,853746,9/18/2014,"$388,000",001047 MAIN ST,CARBONDALE,Townhome,TWO STORY,2008,2,2.5,1548,Section: 34 Township: 7 Range: 88 Subdivision: MOUNTAIN SAGE TOWNHOMES Lot: D3
R009219,239334381002,878433,6/13/2016,"$452,000",000062 N 8TH ST,CARBONDALE,Townhome,TWO STORY,2002,2,2.5,1554,Section: 34 Township: 7 Range: 88 Subdivision: SHANES PINE TREE TOWNHOMES Lot: 2 SUB-DIV EXMPT RE-SUB OF LOT A PINE TREE SUB-DIV AMENDED
R045245,239334271004,877165,5/11/2016,"$442,500",491 N 8TH ST #D,CARBONDALE,Townhome,TWO STORY,2008,3,2.5,1558,Section: 34 Township: 7 Range: 88 Subdivision: SPRUCE TOWNHOMES Lot: D
R580288,246303201045,865524,6/23/2015,"$398,000",000947 VITOS WAY,CARBONDALE,Townhome,TWO STORY,1996,2,2.5,1558,Section: 3 Township: 8 Range: 88 Subdivision: HENDRICK RANCH PUD PH 1 Lot: 54A
R840043,239133203003,864973,7/1/2015,"$389,000",000153 DAKOTA MEADOWS DR,CARBONDALE,Townhome,TWO STORY,1996,3,2.2,1562,Section: 33 Township: 7 Range: 87 Subdivision: DAKOTA MEADOWS DUPLEXES Lot: 12A
R840046,239133203006,853864,9/22/2014,"$412,500",000204 DAKOTA MEADOWS DR,CARBONDALE,Townhome,TWO STORY,1996,3,2.2,1562,"Section: 33 Township: 7 Range: 87 Subdivision: DAKOTA MEADOWS DUP. UT. 6,9,10 Lot: 6B"
R840053,239133203013,866334,7/23/2015,"$464,000",000208 DAKOTA MEADOWS DR,CARBONDALE,Townhome,TWO STORY,1996,3,2.5,1562,Section: 33 Township: 7 Range: 87 Subdivision: DAKOTA MEADOWS DUPLEX UNIT 7&8 Lot: 7A
R840054,239133203014,866963,8/18/2015,"$440,000",000210 DAKOTA MEADOWS DR,CARBONDALE,Townhome,TWO STORY,1996,3,2.25,1562,Section: 33 Township: 7 Range: 87 Subdivision: DAKOTA MEADOWS DUPLEX UNIT 7&8 Lot: 7B
R840060,239133203024,869495,10/20/2015,"$425,000",000140 DAKOTA MEADOWS DR,CARBONDALE,Townhome,TWO STORY,1997,3,2.5,1562,"Section: 33 Township: 7 Range: 87 Subdivision: DAKOTA MDWS DUPLEX 1-3,15,16 Lot: 1B"
R840076,239133203020,866951,8/17/2015,"$412,500",000184 DAKOTA MEADOWS DR,CARBONDALE,Townhome,TWO STORY,1997,3,2.5,1562,Section: 33 Township: 7 Range: 87 Subdivision: DAKOTA MEADOWS ROW HOUSES 4&14 Lot: 4B
R580289,246303201046,862811,5/8/2015,"$380,000",000937 VITOS WAY,CARBONDALE,Townhome,TWO STORY,1996,2,2.75,1570,Section: 3 Township: 8 Range: 88 Subdivision: HENDRICK RANCH PUD PH 1 Lot: 54B
R580245,239334235001,867764,9/4/2015,"$410,000",000901 WHEEL CIR,CARBONDALE,Townhome,TWO STORY,1994,3,2.5,1588,Section: 34 Township: 7 Range: 88 Subdivision: DAVIS DUPLEX Lot: 1
R340922,239333411002,872233,1/6/2016,"$356,300",001611 DEFIANCE DR,CARBONDALE,Townhome,TWO STORY,1981,3,2.5,1608,Section: 33 Township: 7 Range: 88 Subdivision: CRYSTAL VILLAGE P.U.D. Block: 27 Lot: 2 FLG 6 PHASE 1
R044986,23933430C001,857373,12/18/2014,"$438,000",000921 MAIN ST,CARBONDALE,Townhome,TWO STORY,2013,3,2.5,1640,Section: 34 Township: 7 Range: 88 Subdivision: MOUNTAIN SAGE TOWNHOMES Lot: A1
R044990,23933430C005,851713,7/22/2014,"$436,000",000945 MAIN ST,CARBONDALE,Townhome,TWO STORY,2013,3,2.5,1640,Section: 34 Township: 7 Range: 88 Subdivision: MOUNTAIN SAGE TOWNHOMES Lot: B1
R590145,239333117052,867382,8/28/2015,"$382,000",001086 WHEEL DR,CARBONDALE,Townhome,TWO STORY,1994,3,2.5,1672,Section: 33 Township: 7 Range: 88 Subdivision: ROARING FORK VLGE.PUD FILING 1 Block: 1 Lot: 2A RE-SUB OF LOT 15 FLG 1
R340289,246303102007,872205,1/5/2016,"$385,000",000537 S 2ND ST,CARBONDALE,Townhome,TWO STORY,1972,3,1.5,1680,Section: 3 Township: 8 Range: 88 Subdivision: SOPRIS MEADOWS #3 Block: 2 Lot: 8 FIRST FILING
R580096,239334362005,868622,9/18/2015,"$339,000",000360 S 8TH ST,CARBONDALE,Townhome,TWO STORY,1992,4,2.5,1680,Section: 34 Township: 7 Range: 88 Subdivision: DONITA TOWNHOMES Block: 0 Lot: 5
R580097,239334362006,873953,2/22/2016,"$345,000",000362 S 8TH ST,CARBONDALE,Townhome,TWO STORY,1992,4,2.5,1680,Section: 34 Township: 7 Range: 88 Subdivision: DONITA TOWNHOMES Block: 0 Lot: 6
R005049,246303201055,855497,10/31/2014,"$405,000",000957 VITOS WAY,CARBONDALE,Townhome,TWO STORY,1999,3,2.5,1696,Section: 3 Township: 8 Range: 88 RESUB OF LOT 53 Subdivision: HENDRICK RANCH PUD PH 1 Lot: 53B
R007045,246303230002,866177,7/28/2015,"$407,000",001050 VITOS WAY,CARBONDALE,Townhome,TWO STORY,2000,3,2.5,1706,Section: 3 Township: 8 Range: 88 Subdivision: HENDRICK RANCH PUD PH 1 Lot: B RESUB OF LOT 60
